Epoch,TrainLoss,ValLoss,TrainAcc,AUC,ValAcc,Precision,Recall,F1,MAP100,MAP200
1,0.3787226676940918,0.2916901409626007,0.9049286246299744,0.6510886218329459,0.9129742167679509,0.4146341463414634,0.02327173169062286,0.0440699935191186,0.6687352303484838,0.6550818871548885
2,0.2737187445163727,0.2711036801338196,0.9154702425003052,0.7122868036581985,0.9146852321670895,0.6119402985074627,0.02806297056810404,0.05366492146596859,0.8322692040500372,0.7881534324434155
3,0.2730238437652588,0.27537670731544495,0.9153915643692017,0.7044124112249054,0.9140952268570417,0.5263157894736842,0.034223134839151265,0.06426735218508997,0.8142879181144866,0.7777615112803049
4,0.26450634002685547,0.2709062099456787,0.9160602688789368,0.7301903555811994,0.9139772257950322,0.5223880597014925,0.023956194387405885,0.04581151832460733,0.8002303419065282,0.7658527455022388
5,0.2614803910255432,0.2680826187133789,0.9159422516822815,0.7424196021489866,0.9140952268570417,0.5641025641025641,0.015058179329226557,0.029333333333333333,0.7622054018179636,0.7399660921423283
6,0.25696077942848206,0.2689186632633209,0.916374921798706,0.7460533796052744,0.9143902295120656,0.5806451612903226,0.024640657084188913,0.04727511490479317,0.8043196208025305,0.7775828727450247
7,0.2546309530735016,0.30746033787727356,0.9173189401626587,0.7109934042685582,0.9136822231400082,0.4838709677419355,0.02053388090349076,0.03939592908732764,0.6208668786227132,0.6091984823344979
8,0.2737102210521698,0.2729451060295105,0.9157062768936157,0.7132200293017914,0.9140952268570417,0.5609756097560976,0.01574264202600958,0.03062583222370173,0.7773899493355413,0.7434954665551328
9,0.2625313997268677,0.26858675479888916,0.9159422516822815,0.7412138818651325,0.9144492300430704,0.6,0.022587268993839837,0.04353562005277045,0.8582999898202353,0.7972207935345565
10,0.2567014992237091,0.26466381549835205,0.9166502952575684,0.7471160247354071,0.9144492300430704,0.5901639344262295,0.024640657084188913,0.04730617608409987,0.8434445165207889,0.8017930039422798
11,0.2503260672092438,0.26358771324157715,0.917436957359314,0.765263124819692,0.9146262316360847,0.6166666666666667,0.025325119780971937,0.04865220249835635,0.8214357539434632,0.7910507578985468
12,0.24501842260360718,0.26245996356010437,0.9183416366577148,0.7709494506974732,0.9146262316360847,0.5324074074074074,0.07871321013004791,0.13714967203339296,0.8414604408539608,0.8018571488648828
13,0.2497960925102234,0.2564380466938019,0.9167682528495789,0.7740259531920851,0.9148622337601039,0.5957446808510638,0.038329911019849415,0.0720257234726688,0.8414485786764311,0.8039899874813832
14,0.23804393410682678,0.2585979998111725,0.9193249940872192,0.7711067339320967,0.9157472417251755,0.6601941747572816,0.04654346338124572,0.08695652173913043,0.86722205113273,0.8349998649461109
15,0.2350112646818161,0.2617563307285309,0.9201903939247131,0.7791407518341904,0.915629240663166,0.5659574468085107,0.09103353867214237,0.15683962264150944,0.8296442595897877,0.8118474120067627
16,0.2316056489944458,0.25930818915367126,0.9203476905822754,0.782140314145751,0.9163962475662281,0.6182795698924731,0.07871321013004791,0.13964784456587737,0.8443925485686388,0.8206645056150922
17,0.22774969041347504,0.2525750994682312,0.9219997525215149,0.7858646874522714,0.9155702401321612,0.6041666666666666,0.059548254620123205,0.10841121495327102,0.8328430479054666,0.8065265063960231
18,0.22137592732906342,0.26187077164649963,0.9236518144607544,0.7860522208622533,0.9152752374771373,0.5294117647058824,0.1540041067761807,0.23860021208907742,0.8450623372318724,0.8256695084959753
19,0.2218640297651291,0.2505906820297241,0.9231404662132263,0.7848457271991899,0.9175762581863237,0.634453781512605,0.10335386721423682,0.177751618599176,0.8813885835416543,0.8560732267349278
20,0.214517742395401,0.25611966848373413,0.9249104857444763,0.7876839626076898,0.9180482624343619,0.6161290322580645,0.13073237508555785,0.21569734613212874,0.8276087828352162,0.8178390978149401
21,0.21080593764781952,0.24979577958583832,0.9268379211425781,0.7921106968155515,0.9190512714614432,0.6267806267806267,0.15058179329226556,0.24282560706401765,0.8615088798107422,0.8448060938371583
22,0.2044895738363266,0.2562122344970703,0.9286079406738281,0.7840209514172903,0.9167502507522568,0.5573394495412844,0.16632443531827515,0.2561939905113337,0.8489540837496043,0.8291988251337228
23,0.2035893052816391,0.2629404366016388,0.9291192889213562,0.7890605555037024,0.917753259779338,0.5739514348785872,0.17796030116358658,0.2716823406478579,0.8093727375959612,0.8004781182620608
24,0.24111603200435638,0.2641276717185974,0.9213703870773315,0.7630581102112217,0.9146262316360847,0.5233333333333333,0.10746064339493498,0.17830777967064168,0.8671296181801479,0.8289006930259621
25,0.22754862904548645,0.3109518885612488,0.9237304925918579,0.7720701655579504,0.9072511652604873,0.42127659574468085,0.2032854209445585,0.2742382271468144,0.7641084147281061,0.7559459769800253
26,0.23720525205135345,0.2870422303676605,0.922865092754364,0.7748700413576686,0.9129152162369462,0.48861911987860396,0.22039698836413416,0.30377358490566037,0.8200851744994281,0.7976716758386364
27,0.21524208784103394,0.2656431198120117,0.9268379211425781,0.7941187427876865,0.9119712077408697,0.4795783926218709,0.24914442162902123,0.3279279279279279,0.8333962978930713,0.824526100501374
28,0.1976788491010666,0.2559907138347626,0.9319907426834106,0.7920774636061002,0.9183432650893858,0.6096866096866097,0.1464750171115674,0.23620309050772628,0.8212967793824537,0.8181741920474127
29,0.19026564061641693,0.2770223617553711,0.9350588321685791,0.7770150417394968,0.9175762581863237,0.5788177339901478,0.16084873374401096,0.2517407605784681,0.8366054416926271,0.835710328670896
30,0.18320190906524658,0.27143940329551697,0.9382055401802063,0.7805402588513471,0.9142722284500561,0.5062893081761006,0.22039698836413416,0.307105388650453,0.8415699198425002,0.8279401706681141
31,0.1759011596441269,0.29163244366645813,0.9383628964424133,0.7680207078249359,0.9198772788955101,0.6146993318485523,0.188911704312115,0.28900523560209423,0.8428349927387206,0.8324275168739728
32,0.16903561353683472,0.27275434136390686,0.9419029951095581,0.7860713343769975,0.9180482624343619,0.5571428571428572,0.2402464065708419,0.3357245337159254,0.8323678592134545,0.8406982482374779
33,0.16636615991592407,0.2641479969024658,0.9441057443618774,0.7873436315624982,0.9186382677444097,0.582995951417004,0.1971252566735113,0.29462915601023015,0.8761377324418911,0.8573035414105221
34,0.1593952775001526,0.29218748211860657,0.9457184672355652,0.7752062182516786,0.9183432650893858,0.5857461024498887,0.18001368925393565,0.2753926701570681,0.7857190839464743,0.7977024545135409
35,0.15259478986263275,0.3037586212158203,0.9476458430290222,0.777930170309592,0.9184612661513953,0.5679862306368331,0.22587268993839835,0.3232125367286974,0.8774786067747893,0.848151933553273
36,0.14833171665668488,0.30307599902153015,0.9498485326766968,0.7901955668312771,0.9125612130509174,0.4870848708487085,0.27104722792607805,0.3482849604221636,0.8054377050169051,0.8052302927927946
37,0.17839409410953522,0.3057028353214264,0.9436730742454529,0.7794496394903865,0.9173992565933093,0.5679287305122495,0.17453798767967146,0.2670157068062827,0.867208914197229,0.8330774043985991
38,0.1821126639842987,0.29289746284484863,0.9385202527046204,0.7741725196005227,0.9146852321670895,0.5118858954041204,0.22108145106091717,0.30879541108986613,0.8706615646606928,0.8380042656073605
39,0.15928469598293304,0.28905194997787476,0.9448530673980713,0.7705078732655093,0.912148209333884,0.4807692307692308,0.23956194387405885,0.31978072179077205,0.8473291039605093,0.8434643862980786
40,0.1428811103105545,0.3319591283798218,0.9517366290092468,0.775844764319978,0.9140952268570417,0.5035161744022504,0.24503764544832307,0.3296500920810313,0.860264250663731,0.8336369264717483
41,0.13227860629558563,0.33277010917663574,0.9556307196617126,0.7820690969688484,0.9146852321670895,0.5118110236220472,0.22245037645448323,0.3101145038167939,0.8322064541417273,0.8149292414213446
42,0.12467432767152786,0.3553984761238098,0.9582267999649048,0.7755406716148795,0.9146262316360847,0.5104790419161677,0.23340177960301164,0.3203381869422264,0.8453905283461269,0.8261718936421635
43,0.12068958580493927,0.37729042768478394,0.9594855308532715,0.7733245866354417,0.9153932385391469,0.5192582025677603,0.24914442162902123,0.3367252543940796,0.8443980489542192,0.8253491615905663
