Epoch,TrainLoss,ValLoss,TrainAcc,AUC,ValAcc,Precision,Recall,F1,MAP100,MAP200
61,0.1090,0.5117,0.9641,0.7634,0.9183,0.5667,0.2238,0.3209,0.8412,0.8387
62,0.0852,0.4756,0.9720,0.7618,0.9105,0.4705,0.3060,0.3708,0.8642,0.8414
63,0.0964,0.4579,0.9694,0.7522,0.9038,0.4165,0.2902,0.3421,0.8075,0.8122
64,0.0928,0.4947,0.9760,0.7273,0.9138,0.5000,0.2382,0.3227,0.8527,0.8404
65,0.0694,0.5512,0.9782,0.7386,0.9112,0.4736,0.2704,0.3442,0.8183,0.8240
66,0.0744,0.5283,0.9768,0.7546,0.9103,0.4668,0.2888,0.3569,0.8768,0.8545
67,0.0632,0.5605,0.9802,0.7548,0.9124,0.4854,0.2724,0.3490,0.8525,0.8406
68,0.0561,0.5936,0.9836,0.7341,0.8973,0.3933,0.3518,0.3714,0.8543,0.8402
69,0.0575,0.5918,0.9813,0.7493,0.9067,0.4420,0.3128,0.3663,0.8625,0.8464
70,0.0502,0.6580,0.9849,0.7251,0.8980,0.3917,0.3306,0.3586,0.8399,0.8362
71,0.0483,0.6987,0.9852,0.7284,0.9107,0.4692,0.2710,0.3436,0.8106,0.8185
72,0.0578,0.6328,0.9824,0.7194,0.9107,0.4679,0.2642,0.3377,0.8740,0.8544
73,0.0622,0.5401,0.9809,0.7344,0.8930,0.3722,0.3518,0.3617,0.8420,0.8356
74,0.0752,0.5884,0.9766,0.7285,0.9042,0.4192,0.2875,0.3410,0.8575,0.8421
75,0.0720,0.5910,0.9784,0.7453,0.9000,0.4017,0.3272,0.3606,0.8743,0.8565
76,0.0575,0.5698,0.9821,0.7541,0.9097,0.4615,0.2868,0.3537,0.8443,0.8406
77,0.0588,0.6509,0.9838,0.7383,0.9160,0.5284,0.2355,0.3258,0.8476,0.8416
78,0.0722,0.5780,0.9763,0.7622,0.8976,0.3965,0.3607,0.3778,0.8588,0.8538
79,0.0491,0.6532,0.9851,0.7270,0.8962,0.3814,0.3279,0.3526,0.8255,0.8173
