Epoch,TrainLoss,ValLoss,TrainAcc,AUC,ValAcc,Precision,Recall,F1,MAP100,MAP200
1,0.3260,0.3870,0.9104,0.6011,0.9102,0.6667,0.0105,0.0206,0.6407,0.6277
2,0.2777,0.2857,0.9146,0.7156,0.9109,0.6667,0.0261,0.0503,0.8037,0.7523
3,0.2677,0.2832,0.9165,0.7333,0.9109,0.5758,0.0497,0.0915,0.7835,0.7565
4,0.2631,0.2776,0.9167,0.7460,0.9101,0.5349,0.0301,0.0569,0.7919,0.7500
5,0.2519,0.2729,0.9175,0.7562,0.9102,0.5833,0.0183,0.0355,0.7709,0.7353
6,0.2474,0.2719,0.9179,0.7686,0.9107,0.6818,0.0196,0.0381,0.7949,0.7480
7,0.2432,0.2708,0.9182,0.7748,0.9114,0.6094,0.0510,0.0941,0.7855,0.7559
8,0.2371,0.2930,0.9193,0.7542,0.9113,0.5644,0.0745,0.1316,0.7534,0.7430
9,0.2444,0.2720,0.9185,0.7787,0.9112,0.6304,0.0379,0.0715,0.7679,0.7571
10,0.2357,0.2750,0.9195,0.7835,0.9114,0.6029,0.0536,0.0984,0.7248,0.7281
11,0.2366,0.2677,0.9209,0.7724,0.9103,0.5275,0.0627,0.1121,0.7835,0.7599
12,0.2245,0.2592,0.9223,0.7978,0.9130,0.5707,0.1477,0.2347,0.8393,0.8132
13,0.2175,0.2568,0.9253,0.8045,0.9135,0.5593,0.1974,0.2918,0.8221,0.8054
14,0.2123,0.2587,0.9264,0.8046,0.9152,0.6337,0.1425,0.2327,0.8447,0.8248
15,0.2136,0.2611,0.9272,0.7910,0.9141,0.5939,0.1529,0.2432,0.8445,0.8156
16,0.2054,0.2561,0.9293,0.8063,0.9132,0.5644,0.1660,0.2566,0.8485,0.8201
17,0.1988,0.2677,0.9323,0.8016,0.9147,0.6438,0.1229,0.2064,0.8536,0.8344
18,0.1968,0.2636,0.9325,0.7972,0.9149,0.5780,0.2131,0.3114,0.8421,0.8303
19,0.1887,0.2695,0.9358,0.8071,0.9159,0.6040,0.1974,0.2975,0.8629,0.8444
20,0.1859,0.2777,0.9365,0.7998,0.9158,0.6209,0.1712,0.2684,0.8573,0.8314
21,0.2008,0.2747,0.9330,0.8103,0.9119,0.5218,0.2810,0.3653,0.7772,0.7800
