Epoch,TrainLoss,ValLoss,TrainAcc,AUC,ValAcc,Precision,Recall,F1,MAP100,MAP200
1,0.3368,0.2949,0.9063,0.6753,0.9122,0.5000,0.0394,0.0731,0.7281,0.7043
2,0.2722,0.2787,0.9163,0.7144,0.9122,0.5000,0.0439,0.0807,0.7819,0.7442
3,0.2588,0.2761,0.9172,0.7369,0.9128,0.6000,0.0215,0.0415,0.7736,0.7397
4,0.2522,0.2674,0.9176,0.7522,0.9130,0.5676,0.0376,0.0706,0.8099,0.7752
5,0.2463,0.2701,0.9182,0.7379,0.9129,0.5556,0.0403,0.0752,0.8207,0.7790
6,0.2426,0.2631,0.9183,0.7663,0.9133,0.6400,0.0287,0.0549,0.8183,0.7767
7,0.2379,0.2635,0.9197,0.7722,0.9142,0.6761,0.0430,0.0809,0.8421,0.8064
8,0.2321,0.2572,0.9202,0.7777,0.9143,0.5890,0.0771,0.1363,0.8679,0.8293
9,0.2282,0.2624,0.9205,0.7843,0.9150,0.6074,0.0887,0.1548,0.8706,0.8275
10,0.2224,0.2586,0.9216,0.7903,0.9154,0.6087,0.1004,0.1723,0.8359,0.8065
11,0.2196,0.2608,0.9234,0.7813,0.9140,0.5673,0.0869,0.1507,0.8638,0.8318
12,0.2217,0.2649,0.9226,0.7830,0.9154,0.6519,0.0789,0.1407,0.8421,0.8219
13,0.2245,0.2638,0.9212,0.7881,0.9134,0.5843,0.0466,0.0863,0.8545,0.8060
14,0.2167,0.2589,0.9223,0.7884,0.9161,0.5862,0.1523,0.2418,0.8407,0.8091
15,0.2076,0.2583,0.9253,0.7959,0.9161,0.6050,0.1290,0.2127,0.8392,0.8188
16,0.1991,0.2650,0.9284,0.7931,0.9123,0.5012,0.1855,0.2708,0.8575,0.8207
17,0.1961,0.2690,0.9302,0.7909,0.9172,0.5755,0.2186,0.3169,0.8719,0.8456
18,0.1868,0.2944,0.9335,0.7900,0.9169,0.6323,0.1263,0.2106,0.8461,0.8222
19,0.2078,0.2601,0.9246,0.7932,0.9159,0.5874,0.1416,0.2282,0.8698,0.8294
20,0.2499,0.3117,0.9218,0.6703,0.9118,0.4561,0.0233,0.0443,0.7505,0.7169
21,0.2564,0.2724,0.9180,0.7525,0.9134,0.5381,0.0950,0.1615,0.8543,0.8276
22,0.2325,0.2747,0.9200,0.7807,0.9139,0.6296,0.0457,0.0852,0.7935,0.7894
23,0.2267,0.2496,0.9210,0.7974,0.9136,0.5495,0.0896,0.1541,0.8493,0.8214
24,0.2327,0.2796,0.9223,0.7694,0.9149,0.5825,0.1075,0.1815,0.7628,0.7535
25,0.2105,0.2770,0.9242,0.7899,0.9083,0.4586,0.2482,0.3221,0.8518,0.8054
26,0.2616,0.2615,0.9161,0.7742,0.9135,0.5669,0.0645,0.1158,0.8140,0.7929
27,0.2169,0.2696,0.9235,0.7800,0.9155,0.5938,0.1192,0.1985,0.8801,0.8507
28,0.2061,0.2568,0.9272,0.7940,0.9153,0.5725,0.1380,0.2224,0.8581,0.8327
29,0.1954,0.2922,0.9310,0.7626,0.9136,0.5262,0.1622,0.2479,0.8598,0.8118
30,0.1939,0.2721,0.9313,0.7819,0.9129,0.5085,0.2419,0.3279,0.8720,0.8487
